latitud,longitud
40.761376,-73.985273
40.795783,-73.973678
40.822142,-73.931128
40.759223,-73.992703
40.719772,-74.010475
40.771626,-73.981032
40.71695,-74.014948
40.764609,-73.979517
40.784865,-73.948526
40.713246,-74.001
40.733934,-73.993118
40.757223,-73.963011
40.777924,-73.957245
40.822935,-73.890483
40.736778,-73.979688
40.516758,-74.196379
40.584709,-74.086124
40.58269775,-74.1678755
40.5817345,-74.1684335
40.5811275,-74.1679225
40.583139,-74.166332
40.718053,-73.931508
40.612696,-74.179012
40.811446,-73.960477
40.74027,-73.790815
40.764464,-73.946924
40.764208,-73.947198
40.72054,-73.962249
40.747437,-74.007111
40.681151,-73.982101
40.681263,-73.981155
40.807356,-73.954354
40.6909872,-73.9901305
40.6910734,-73.9901973
40.68608,-73.978252
40.800793,-73.9371
40.778221,-73.985072
40.727797,-73.990746
40.8124589,-73.83447
40.7440113,-73.9741155
40.764429,-73.946793
40.792194,-73.92455
40.7613979,-73.9746128
40.651931,-73.758355
40.908654,-73.905897
40.90872,-73.905883
40.572636,-74.08616
40.846612,-73.876323
40.755077,-73.955605
40.755024,-73.955605
40.75533,-73.95569
40.755314,-73.955605
40.75516,-73.955605
40.755142,-73.9556
40.755108,-73.955605
40.645659,-73.779481
40.645916,-73.779152
40.645758,-73.779314
40.773069,-73.875169
40.772972,-73.875608
40.772977,-73.875474
40.770752,-73.866327
40.612678,-74.178885
40.612688,-74.178948
40.612671,-74.17882
40.612706,-74.179076
40.7923,-73.92468
40.79237,-73.924644
40.572636,-74.08614
40.77599,-73.95044
40.737182,-73.976713
40.756604,-73.828138
40.831638,-73.891659
40.77493,-73.980969
40.808441,-73.91811
40.750397,-74.006467
40.58297,-74.07527
40.582787,-74.07527
40.64554,-73.918344
40.786732,-73.950411
40.872524,-73.890564
40.773472,-73.955287
40.754022,-73.965166
40.744731,-73.981125
40.73491,-74.001634
40.744546,-73.926319
40.744557,-73.926271
40.73137973,-74.0007049
40.768721,-73.983487
40.777737,-73.957413
40.78131,-73.980834
40.72205,-73.849351
40.713705,-73.831217
40.766719,-73.979533
40.793416,-73.967719
40.778036,-73.780899
40.742397,-73.959225
40.888461,-73.899119
40.879413,-73.875485
40.789958,-73.966488
40.760424,-73.856316
40.710752,-73.851417
40.88734,-73.89526
40.892423,-73.882373
40.755417,-73.923072
40.761412,-73.923755
40.709168,-73.968491
40.748359,-73.972213
40.775792,-73.944015
40.680484,-73.996719
40.66696,-73.975032
40.69933379421704,-73.94966479629517
40.6567801,-73.9777597
40.65608,-73.80809
40.717195,-73.991658
40.7616221,-73.9754656
40.724591,-73.954512
40.654381,-73.913436
40.657441,-73.874619
40.711327,-73.89229
40.711273,-73.89222
40.711266,-73.89218
40.57891694756012,-73.97537047469709
40.656102,-73.940436
40.75519,-73.974142
40.677402,-73.745064
40.714318,-73.953186
40.656766,-74.004802
40.839756,-73.943345
40.875421,-73.893941
40.728283,-73.997251
40.72808,-73.99724
40.882337,-73.880265
40.762254,-73.970024
40.700039,-73.941261
40.674612,-73.944569
40.649116,-74.006479
40.668517,-73.983283
40.654476,-73.946741
40.679727,-73.931347
40.716441,-73.960043
40.744363,-73.93112
40.869205,-73.831633
40.8827858370269,-73.8419855959349
40.736148,-73.980154
40.736161,-73.980267
40.638583,-73.998687
40.638561,-73.998686
40.63855,-73.998668
40.638531,-73.99858
40.638557,-73.998678
40.638536,-73.99864
40.638581,-73.998691
40.63851,-73.998605
40.638594,-73.998676
40.772871,-73.992514
40.773005,-73.992868
40.772952,-73.992622
40.772896,-73.992536
40.772904,-73.992514
40.77292,-73.992546
40.772912,-73.992589
40.7733,-73.991532
40.5898135,-73.7999495
40.76324463,-73.98864745
40.7163,-74.01258
40.758681,-73.98135
40.780397,-73.977729
40.659338,-74.006454
40.74894,-73.893721
40.848202,-73.935857
40.781104,-73.984478
40.638545,-73.998658
40.569063603,-74.109547715
40.63557,-74.01628
40.7565187377,-73.9610743999
40.745096,-73.971921
40.619335,-74.029466
40.667017,-73.988698
40.786312,-73.97569
40.79743,-73.9687
40.79766,-73.96838
40.6918,-73.99829
40.76709,-73.98733
40.67283,-73.97175
40.7624,-73.99635
40.75657,-73.96226
40.75527,-73.96386
40.75267,-73.96482
40.74057,-73.99147
40.78126,-73.98044
40.74415,-73.98046
40.7708,-73.98323
40.7702,-73.95525
40.76154,-73.98518
40.78147,-73.95986
40.77447,-73.94599
40.77729,-73.94355
40.772,-73.94639
40.78351,-73.94888
40.76894,-73.96047
40.77082,-73.96068
40.76942,-73.76942
40.776152,-73.98282
40.753624,-73.823573
40.584984,-74.088044
40.7136044677631,-73.93309885767226
40.745401,-73.946148
40.745399,-73.946226
40.745344,-73.94618
40.745355,-73.94625
40.745475,-73.942225
40.745393,-73.946234
40.753602,-73.899789
40.753601,-73.899806
40.753602,-73.899825
40.68092,-73.97076
40.70522,-73.79147
40.70525,-73.791534
40.70524,-73.791466
40.705254,-73.7915
40.70568,-73.791504
40.765233,-73.918436
40.745853,-73.884134
40.74508,-73.97604
40.743643,-73.936591
40.699487,-73.989516
40.656459,-73.977527
40.710179,-74.013169
40.714113,-74.01581
40.761698,-73.978338
40.656148,-73.940355
40.879501,-73.903603
40.628872,-73.971992
40.693463,-73.988245
40.705481,-73.972208
40.715319,-73.830563
40.757772,-73.826935
40.718731,-73.773113
40.777932,-73.957152
40.668552,-73.97869
40.76517,-73.832336
40.7704422836341,-73.870626573029
40.77049,-73.87014
40.74538,-73.98571
40.74282,-73.97438
40.77798,-73.95555
40.581587,-73.830086
40.772839,-73.992493
40.74679,-73.94111
40.905461,-73.849791
40.876952,-73.845534
40.704776,-74.008276
40.730723,-73.990854
40.766545,-73.95292
40.758967,-73.995189
40.8924692,-73.9091145
40.604086,-74.179358
40.604324,-74.179675
40.60429,-74.17979
40.604252,-74.179682
40.604213,-74.179561
40.604082,-74.179499
40.603961,-74.179472
40.60401,-74.179524
40.604322,-74.179683
40.604154,-74.179546
40.77049,-73.96077
40.671397,-74.011643
40.671379,-74.011649
40.671393,-74.011584
40.671404,-74.011655
40.644065,-74.075153
40.716131,-74.015548
40.716132,-74.015557
40.780678,-73.956269
40.733347,-73.858012
40.728704,-74.00765
40.718455,-73.83651
